ETABLISSEMENT;VILLE;UAI;COMPO;COM_CODE
Universit de Technologie de Belfort-Montbliard (dpt Ergonomie, Design et Ingnierie Mcanique);Montbliard;0900424X;0251938W;25388
Lyce Jean Mermoz;Montpellier;0340042L;0340042L;34172
IDRAC Montpellier;Montpellier;0693180G;0341267T;34172
UFR Droit et Science Politique;Montpellier;0342321N;0341154V;34172
IAE Montpellier;Montpellier;0342321N;0340125B;34172
Universit Paul Valry Montpellier 3;Montpellier;0341089Z;0341089Z;34172
ISEM-UNIVERSITE MONTPELLIER 1;MONTPELLIER;0342321N;0341152T;34172
ISEM-AES;Montpellier;0342321N;0341152T;34172
Universit Montpellier 2;Montpellier;0342321N;0342321N;34172
Polytech montpellier;Montpellier;0342321N;0341143H;34172
Universit Montpellier II;Montpellier;0342321N;0342321N;34172
Facult des sciences- Universit de Montpellier;Montpellier;0342321N;0341768M;34172
Institut des Sciences de l'Entreprise et du Management;Montpellier;0342321N;0341152T;34172
IUT Montpellier 2;Montpellier;0342321N;0340838B;34172
Facult d'Administration conomique et Sociale (UFR AES);Montpellier;0342321N;0340839C;34172
Universit de Montpellier (MOMA);Montpellier;0342321N;0341152T;34172
Universit de Montpellier 2;Montpellier;0342321N;0342321N;34172
AES Universit de Montpellier;Montpellier;0342321N;0340839C;34172
Facult AES;MONTPELLIER;0342321N;0340839C;34172
Universit Paul-Valry;Montpellier;0341089Z;0341089Z;34172
UM1 Montpellier;Montpellier;0342321N;0342321N;34172
AES Montpellier 1;Montpellier;0342321N;0340839C;34172
cole Nationale Suprieure de Chimie de Montpellier;Montpellier;0340112M;0340112M;34172
UFR AES Universit de MONTPELLIER;MONTPELLIER;0342321N;0340839C;34172
UFR STAPS MONTPELLIER;MONTPELLIER;0342321N;0341434Z;34172
ISEM;MONTPELLIER;0342321N;0341152T;34172
Montpellier Supagro;Montpellier;0342222F;0342222F;34172
Institut d'Administration des Entreprises;Montpellier;0342321N;0340125B;34172
ESICAD;Montpellier;0341820U;0341820U;34172
universit paul valery;montpellier;0341089Z;0341089Z;34172
EPF Montpellier;Montpellier;0920674H;0342299P;34172
UFR Pharmacie - UM1;MONTPELLIER;0342321N;0341149P;34172
Universit Paul Valry Montpellier;Montpellier;0341089Z;0341089Z;34172
UFR AES MONTPELLIER;Montpellier;0342321N;0340839C;34172
Polytech;Montpellier;0342321N;0341143H;34172
Montpellier Management University / UFR AES;Montpellier;0342321N;0340839C;34172
Universit Montpellier ;Montpellier;0342321N;0342321N;34172
Universit Paul Valry;Montpellier;0341089Z;0341089Z;34172
Universit de Montpellier;Montpellier;0342321N;0342321N;34172
ECOLE NATIONALE SUPERIEURE D'ARCHITECTURE DE MONTPELLIER;MONTPELLIER;0340132J;0340132J;34172
Universit Montpellier 1;Montpellier;0342321N;0342321N;34172
Montpellier Management University (UM1);Montpellier;0342321N;0342321N;34172
ESARC EVOLUTION;MONTPELLIER;0341576D;0341576D;34247
ENSAM;MONTPELLIER;0340132J;0340132J;34172
SupAgro ;Montpellier;0342222F;0342222F;34172
Montpellier Business School;Montpellier;0340137P;0340137P;34172
HEC Montral;Montral;0783054W;ETRANGERPR;Montral
Universit du Qubec ;MONTREAL (Canada);ETRANGERPU;ETRANGERPU;Montral
ESG UQAM;Montral (Canada);ETRANGERPU;ETRANGERPU;Montral
Hec Montral;Montral (Canada);0783054W;ETRANGERPR;Montral
UNIVERSITE CONCORDIA;MONTREAL, CANADA;ETRANGERPU;ETRANGERPU;Montral
Institut Universitaire et Technologie de Mulhouse;Mulhouse;0681166Y;0680169P;68224
Lyce Albert Schweitzer;Mulhouse;0680031P;0680031P;68224
Universit Haute Alsace;Mulhouse;0681166Y;0681166Y;68224
Lyce Michel de Montaigne;Mulhouse;0680032R;0680032R;68224
Universit de Haute-Alsace -  Facult des Sciences et Techniques;Mulhouse;0681166Y;0680096K;68224
Fachochschule Mnster;Mnster;ETRANGERPU;ETRANGERPU;Mnster
cole Nationale Suprieure des Industries Chimiques;NANCY;0542493S;0540113E;54395
UNIVERSITE DE LORRAINE;NANCY;0542493S;0542493S;54395
Universit de Lorraine,Facult de mdecine;Nancy;0542493S;0541669W;54395
UFR STAPS ;Nancy;0542493S;0540120M;54578
IUT Nancy Charlemagne;Nancy;0542493S;0541324W;54395
Universit de Lorraine - Facult de lettres  Nancy (UFR SHS);Nancy;0542493S;0541666T;54395
Universit de Lorraine / Campus Lettres et Sciences Humaines;NANCY;0542493S;0541666T;54395
Ecole des Mines de Nancy;Nancy;0542493S;0540128W;54395
IUT Charlemagne;Nancy;0542493S;0541324W;54395
Facult de droit ;Nancy;0542493S;0541668V;54395
UFR STAPS Nancy;Nancy;0542493S;0540120M;54578
IAE;Nancy;0542493S;0542482E;54395
Universit de Lorraine;Nancy;0542493S;0542493S;54395
ED SJEPEG;Nancy;0542493S;0541668V;54395
Epitech;Nancy;0942129D;0542489M;54395
Facult de Mdecine de Nancy;Nancy;0542493S;0541669W;54395
CCI formation lorraine;Nancy;;;54395
ENSAIA;Nancy;0542493S;0540109A;54547
Facult Des Sciences et Techniques - Universit de Lorraine;Nancy;0542493S;0542485H;54547
Facults des Sciences et Technologies;Nancy;0542493S;0542485H;54547
ENSGSI - cole Nationale Suprieure en Gnie des Systmes et de l'Innovation;Nancy;0542493S;0542307P;54395
UFR Droit, conomie et Gestion  ;Nancy;0542493S;0541668V;54395
INPL-ENSAIA;NANCY;0542493S;0540109A;54547
IECA;Nancy;0542493S;0542239R;54395
Universit de Nancy 2;Nancy;0542493S;0542493S;54395
Facult de mdecine;Nancy;0542493S;0541669W;54395
ENSGSI - Universit de Lorraine ;Nancy;0542493S;0542307P;54395
IUT Nancy-Brabois;NANCY;0542493S;0541205S;54578
IUT Nancy-Charlemagne ;NANCY;0542493S;0541324W;54395
ENSGSI;Nancy;0542493S;0542307P;54395
IUT NANCY - Charlemagne;NANCY;0542493S;0541324W;54395
Ecole des Mines;Nancy;0542493S;0540128W;54395
ISAM-IAE;Nancy;0542493S;0542482E;54395
Institut Commercial de Nancy ;Nancy;0542455A;0542455A;54395
Lyce Frdric Chopin;NANCY;0540040A;0540040A;54395
CLSH Universit de Lorraine;Nancy;0542493S;0542499Y;54395
Mines Nancy - Universit de Lorraine;Nancy;0542493S;0540128W;54395
LYCEE FREDERIC CHOPIN;NANCY;0540040A;0540040A;54395
CLSH - Universit de Lorraine;Nancy;0542493S;0542499Y;54395
UFR Mathmatiques et Informatique Nancy 2 _ Universit de Lorraine;Nancy;0542493S;0541660L;54395
ISAM-IAE Universit de Lorraine ;Nancy ;0542493S;0542482E;54395
IUT - Charlemagne ;NANCY ;0542493S;0541324W;54395
STAPS Universit de Lorraine;Nancy;0542493S;0540120M;54578
CNAM ;Nancy ;0753471R;0542457C;54395
Universit de Lorraine - UFR arts, lettres et langues;NANCY;0542493S;0541665S;54395
ICN BUSINESS SCHOOL;NANCY;0542455A;0542455A;54395
Lyce Henri Poincar;Nancy;0540038Y;0540038Y;54395
Institut de Management Commercial - European Business School;Nancy;0542455A;0542455A;54395
TELECOM Nancy;Nancy;0542493S;0542236M;54578
Universit de Lorraine, Facult de mdecine de Nancy;NANCY;0542493S;0541669W;54395
Ecole Nationale Suprieure de Gologie;Nancy;0542493S;0540123R;54547
UFR Mathmatiques et Informatique Nancy 2;Nancy;0542493S;0541660L;54395
Ecole de Sant Publique - Facult de Mdecine;NANCY (54);0542493S;0542491P;54547
IUT NANCY CHARLEMAGNE  54000   NANCY;NANCY 54000;0542493S;0541324W;54395
Universit paris Ouest Nanterre La Dfense;Nanterre;0921204J;0921204J;92050
UNIVERSITE PARIS OUEST NANTERRE LA DEFENSE;NANTERRE;0921204J;0921204J;92050
Universit Paris X Nanterre;Nanterre;0921204J;0921204J;92050
Universit Paris Ouest La Dfense;Nanterre;0921204J;0921204J;92050
Universit Paris ouest - Nanterre - La Dfense;Nanterre;0921204J;0921204J;92050
Paris Ouest Nanterre La Dfense;Nanterre;0921204J;0921204J;92050
Universit Paris-X Nanterre;Nanterre;0921204J;0921204J;92050
PARIS 10  NANTERRE;NANTERRE;0921204J;0921204J;92050
paris ouest Nanterre ;Nanterre;0921204J;0921204J;92050
UPOND;Nanterre;0921204J;0921204J;92050
Universit Paris Ouest;Nanterre;0921204J;0921204J;92050
Nanterre Universit;Nanterre;0921204J;0921204J;92050
Universit Nanterre la dfense ;Nanterre ;0921204J;0921204J;92050
UNIVERSITE PARIS X;NANTERRE;0921204J;0921204J;92050
Universit Paris X Nanterre La Dfense;Nanterre;0921204J;0921204J;92050
Nanterre Paris X;Nanterre;0921204J;0921204J;92050
Universit Paris Ouest Nanterre La Dfense / Johannes Gutenberg Universitt Mainz;Nanterre (France) / Mayence (Allemagne);0921204J;0921204J;92050
GRETA Loire Atlantique;Nantes;0440029T;0440029T;44109
IEMN IAE;NANTES;0440984F;0440099U;44109
ENITIIA;NANTES;0442674T;0441679L;44109
ICEE;Nantes;0442276K;0442276K;44109
Universit de Sciences et Techniques;Nantes ;0440984F;0442077U;44109
UFR des Sciences et des Techniques;Nantes;0440984F;0442077U;44109
FACULT DE DROIT ET SCIENCES POLITIQUES DE NANTES;NANTES;0440984F;0441511D;44109
Universit Nantes;Nantes;0440984F;0440984F;44109
IEMN-IAE;Nantes;0440984F;0440099U;44109
IEMN-IAE NANTES;NANTES;0440984F;0440099U;44109
UFR droit et sciences politiques ;Nantes;0440984F;0441511D;44109
Universit de droit et de sciences politiques de Nantes;Nantes;0440984F;0441511D;44109
Universit de Nantes;Nantes;0440984F;0440984F;44109
Universit de Nantes - Facult de Mdecine;Nantes;0440984F;0441513F;44109
Facult des sciences et technique de Nantes;Nantes;0440984F;0442077U;44109
Lyce Livet;Nantes;0440029T;0440029T;44109
UFR de Droit de Nantes;NANTES;0440984F;0441511D;44109
IUT de Nantes;Nantes;0440984F;0440139M;44109
Lyce Eugne Livet;Nantes;0440029T;0440029T;44109
Ecole polytechnique de l'universit de Nantes;Nantes;0440984F;0442409E;44109
ECE Paris (cole d'ingnieur) et Audencia Nantes ( cole de management);Nantes;0440112H;0440112H;44109
Institut des Mtiers de L'enseignement Suprieur ;Nantes;0440254M;0440254M;44109
Polytech Nantes;Nantes;0440984F;0442409E;44109
cole de Design Nantes-Atlantique;Nantes;0442085C;0442085C;44109
L'IUT de Nantes;Nantes;0440984F;0440139M;44109
LISAA;Nantes;0442520A;0442520A;44109
Audencia cole de management;Nantes;0440112H;0440112H;44109
Facult des sciences et techniques de Nantes;Nantes;0440984F;0442077U;44109
FACULT DE DROIT DE NANTES;NANTES;0440984F;0441511D;44109
IRFFLE - Universit de Nantes;Nantes;0440984F;0442375T;44109
UFR SCIENCES NANTES;NANTES;0440984F;0442077U;44109
AUDENCIA;NANTES;0440112H;0440112H;44109
Ecole Atlantique de Commerce, Audencia Group;Nantes;0440112H;0441965X;44109
Institut Universitaire de Nantes (Site Joffre) ;Nantes;0440984F;0440139M;44109
IDRAC Nantes;Nantes;0693180G;0442311Y;44109
UFR STAPS de l'Universit de Nantes;Nantes;0440984F;0442394N;44109
Audencia Nantes, Ecole de Management;Nantes;0440112H;0440112H;44109
Ecole Atlantique de Commerce;Nantes;0440112H;0441965X;44109
Audencia Nantes;Nantes;0440112H;0440112H;44109
ONIRIS;Nantes (44);0442674T;0442674T;44109
CELSA;neuilly sur seine;0751720M;0921509R;92051
CELSA;Neuilly-sur-Seine;0751720M;0921509R;92051
Celsa - Paris-Sorbonne;Neuilly-sur-Seine;0751720M;0921509R;92051
Universit de Cergy-Pontoise;Neuville sur Oise;0951793H;0951793H;95450
CCI Formation;NEVERS;0580966K;0580966K;58194
Univrsit de Nice Sophia-Antipolis;Nice;0060931E;0060931E;06088
IAE;Nice;0060931E;0060636J;06088
ISEM/ IUP SEDI  Universit de Nice Sophia-Antipolis;Nice;0060931E;0062078B;06088
Institut d'Administration des Entreprises;NICE;0060931E;0060636J;06088
Universit de Nice Sophia Antipolis;Nice;0060931E;0060931E;06088
Universit Droit ;Nice;0060931E;0061077N;06088
UNSA facult de sciences;nice;0060931E;0061076M;06088
Universit de Nice Sophia-Antipolis;Nice;0060931E;0060931E;06088
IDRAC ;Nice;0693180G;0061643D;06088
Edhec;Nice;0590350K;0061770S;06088
Universit de Nice-Sophia Antipolis U.F.R. L.A.S.H.;NICE;0060931E;0061075L;06088
Facults des Lettres Campus Carlone;NICE;0060931E;0060931E;06088
Campus Carlone - Universit Nice/Sophia-Antipolis;Nice;0060931E;0060931E;06088
Institut Suprieur d'Economie et Management, Universit de Nice Sophia-Antipolis;NICE;0060931E;0062078B;06088
BBA EDHEC ;Nice;0590350K;0061770S;06088
UFR STAPS - Universit Nice Sophia Antipolis;Nice;0060931E;0060931E;06088
UFR LASH - Universit Nice-Sophia Antipolis ;Nice;0060931E;0060931E;06088
Campus Carlone - Universit Nice / Sophia-Antipolis;Nice;0060931E;0060931E;06088
Universit de Nice;Nice;0060931E;0060931E;06088
Facult Espaces & Cultures/ Universit de Nice Sophia Antipolis;Nice;0060931E;0060931E;06088
Lyce des eucalyptus;Nice;0060075Z;0060075Z;06088
MBway;Nice;0061610T;0061610T;06088
 UFR STAPS - Universit Nice Sophia Antipolis;Nice;0060931E;0061346F;06088
Polytech Nice Sophia Antipolis;Nice Sophia Antipolis;0060931E;0062019M;06152
UNIMES;NIMES;0301687W;0301687W;30189
IFC;NIMES;0841042B;0301757X;30189
Universit de Nmes;Nmes;0301687W;0301687W;30189
Universit Montpellier 1;Nmes;0342321N;0342321N;30189
UPEM;Noisy Champs;0772502B;0772502B;93051
ESIEE Paris;Noisy-Champs;0932019P;0932019P;93051
ESIEE Paris;Noisy-le-Grand;0932019P;0932019P;93051
Universit de la Nouvelle-Caldonie;Nouma;9830445S;9830445S;98818
Universit de la Nouvelle-Caldonie;Nouma (Nouvelle-Caldonie);9830445S;9830445S;98818
Universit de la Nouvelle-Caldonie;Nouma, Nouvelle-Caldonie;9830445S;9830445S;98818
ECOLE DOCTORALE UNIVERSITE ORLEANS;ORLEANS;0450855K;0450855K;45234
Universit d'Orlans;ORLEANS;0450855K;0450855K;45234
IAE d'Orlans;Orlans;0450855K;0451022S;45234
Lyce Voltaire;Orlans;0450782F;0450782F;45234
Lyce Saint Paul Bourdon Blanc;Orlans;0450758E;0450758E;45234
Lyce Pothier;Orlans;0450049J;0450049J;45234
Facult des Sciences;Orlans;0450855K;0451721B;45234
Exia.Cesi;Orlans;0755372G;0451662M;45234
Universit d'Orlans-La Source;Orlans;0450855K;0450855K;45234
CESI Centre Val de Loire;Orlans;0755372G;0451662M;45234
Polytech' Orlans;Orlans;0450855K;0451638L;45234
Polytech Orlans;Orlans;0450855K;0451638L;45234
Universit d'Orlans;Orlans;0450855K;0450855K;45234
Exia CESI Orlans;Orlans;0755372G;0451662M;45234
EXIA Cesi;Orlans;0755372G;0451662M;45234
IUT d'Orlans;Orlans;0450855K;0450092F;45234
Lyce Benjamin Franklin;Orlans;0450051L;0450051L;45234
OSUC, Universit d'Orlans ;Orlans;0450855K;0451688R;45234
IUT d'Orsay;Orsay;0911101C;0910923J;91471
UFR STAPS ORSAY;ORSAY;0911101C;0912231F;91471
Universit Paris Sud;Orsay;0911101C;0911101C;91471
Lyce Blaise Pascal;Orsay (91);0910626L;0910626L;91471
IUT d'Orsay (plateau de Saclay);Orsay / Domaine de Gif;0911101C;0910923J;91471
BI Norwegian Business School  ;OSLO, Norvge ;ETRANGERPR;ETRANGERPR;Oslo
Sorbonne - Nouvelle Paris 3;Pairs;0751719L;0751719L;75056
cole Polytechnique;Palaiseau;0911568K;0911568K;91477
ENSTA ParisTech;Palaiseau;0912318A;0912318A;91477
Ecole Polytechnique;Palaiseau;0911568K;0911568K;91477
Institut d'Optique Graduate School;Palaiseau;0910725U;0910725U;91477
Lyce Paul Gauguin;Papeete (Tahiti, Polynsie Franaise);9840002E;9840002E;98735
Formation par correspondance avec la CNED;Par correspondance ;0861288H;0861288H;86062
Ecole Centrale Paris;Paris;0912341A;0912341A;92019
cole intuit lab;Paris;0755051H;0755051H;75056
Universit de Paris Dauphine;Paris;0750736T;0750736T;75056
Universit de Paris 5 (candidature en cours);Paris ;0751721N;0751721N;75056
Institut Catholique de Paris ;Paris ;0753541S;0753541S;75056
Icart - cole des mtiers de la culture et du commerce de l'art;Paris;0754602V;0754602V;75056
IFSAIG   Paris Business School ;PARIS ;;;75056
Universit de PARIS 5;Paris;0751721N;0751721N;75056
ISC PARIS BUSINESS SCHOOL;PARIS;0750252S;0750252S;75056
INSEEC-Paris;Paris;0754500J;0754500J;75056
IEP - Sciences Po;Paris;0753431X;0753431X;75056
IFE ADERE;Paris;0754783S;0754783S;75056
Ecole des Mines de Paris;Paris;0753493P;0753493P;75056
ICP;Paris;0753541S;0753541S;75056
ICP (Institut Catholique de Paris);Paris;0753541S;0753541S;75056
ICP de Paris ;Paris;0753541S;0753541S;75056
Universit Sorbonne Nouvelle Paris 3;Paris;0751719L;0751719L;75056
Ecole des Hautes Etudes en Sciences Sociales (EHESS);Paris;0753742K;0753742K;75056
cole de Commerce MBway;Paris ;0061610T;;75056
cole du Louvre ;Paris;0753489K;0753489K;75056
Universit Paris 5 Ren Descartes;Paris;0751721N;0751721N;75056
universit Paris 1 Panthon Sorbonne/ King's College London;Paris;0751717J;0751717J;75056
Universit Paris Descartes;Paris;0751721N;0751721N;75056
ESME Sudria;PARIS;0941953M;0755714D;75056
UNIVERSITE PARIS DESCARTES;PARIS;0751721N;0751721N;75056
Universit Paris Dauphine;Paris;0750736T;0750736T;75056
Universit Paris 9 Dauphine, Paris;Paris;0750736T;0750736T;75056
ESSCA;Paris;0490076S;0922593U;92012
ESSEC;Paris;0951214D;0951214D;95127
Universit Paris Diderot;Paris;0751723R;0751723R;75056
Universit Paris 7 Diderot;Paris;0751723R;0751723R;75056
ESIEE PARIS;Paris;0932019P;0932019P;93051
Universit Paris 2 Panthon-Assas;Paris;0751718K;0751718K;75056
Universit Paris 1-Panthon Sorbonne;Paris;0751717J;0751717J;75056
ESTP;Paris;0942340H;0942340H;94016
Universit Paris-Dauphine;Paris;0750736T;0750736T;75056
Universit Paris 13;Paris;0931238R;0931238R;93079
ESVE;Paris;0753396J;0753396J;75056
Universit Paris 1 Panthon-Sorbonne;Paris;0751717J;0751717J;75056
Gobelins;Paris;0754197E;0754197E;75056
Universit Paris X ;Paris;0921204J;0921204J;92050
ESG Management Scool;Paris;0753111Z;0753111Z;75056
ESCEN - Ecole Suprieur de Commerce et d'Economie Numrique;PARIS;0333271B;;75056
ESCEN - cole Suprieure de Commerce et dconomie Numrique;Paris;0333271B;;75056
ESCP;Paris ;0753547Y;0753547Y;75056
ESCP Europe;Paris;0753547Y;0753547Y;75056
ESCP-Europe ;Paris;0753547Y;0753547Y;75056
Universit Paris IV;Paris;0751720M;0751720M;75056
Universit Paris III - Sorbonne Nouvelle ;Paris;0751719L;0751719L;75056
Universit Paris I Panthon-Sorbonne;Paris ;0751717J;0751717J;75056
UNIVERSITE PARIS DESCARTES PARIS 5;PARIS;0751721N;0751721N;75056
ESG Management School (futur PSB Paris School of Business) ;Paris ;0753111Z;0753111Z;75056
Universit Paris 1 Panthon Sorbonne & EM Sorbonne;Paris;0751717J;0751717J;75056
Universit Paris Est Paris 12 (Facult de droit de Crteil UPEC);Paris;0941111X;0941241N;94028
ESAA DUPERR;PARIS;0750672Y;0750672Y;75056
ESGCI;Paris;0754725D;0754725D;75056
Universit Paris VII Diderot;Paris;0751723R;0751723R;75056
EPITECH;PARIS;0942129D;0942129D;94043
Universit Paris Est Crteil;Paris;0941111X;0941111X;75056
Universit Paris Diderot - Paris 7;Paris;0751723R;0751723R;75056
Universit Paris Diderot - Institut de Physique du Globe de Paris;Paris;0751723R;0751723R;75056
ESG Management School;Paris;0753111Z;0753111Z;75056
cole Nationale Suprieure des Beaux Arts de Paris;Paris;0753667D;0753667D;75056
FACO PARIS;Paris;0750728J;0750728J;75056
Univesit Paris Descartes;Paris;0751721N;0751721N;75056
EDHEC Business School;Paris;0590350K;;75056
UPMC;Paris;0751722P;0751722P;75056
UPMC Sorbonne universit;Paris;0751722P;0751722P;75056
EDC business SCHOOL;paris;0922007G;0922007G;92026
ECS Paris;Paris;0755708X;0755708X;75056
Universit Diderot;Paris;0751723R;0751723R;75056
EIML PARIS;Paris;0755561M;0755561M;75056
cole Nationale Suprieure des Beaux Arts de Paris ( ENSBA );Paris;0753667D;0753667D;75056
ENS - EHESS;Paris;0753455Y;0753455Y;75056
Ecole Nationale Suprieure des Beaux Arts de Paris;Paris;0753667D;0753667D;75056
Ecole Nationale Superieure d'Arts et Metiers ParisTech;Paris;0753237L;0753237L;75056
Ecole Nationale Suprieure d'Architecture Paris-Val de Seine;Paris;0754540C;0754540C;75056
INSEEC ;Paris;0754500J;0754500J;75056
Universit Paris 3, Sorbonne-Nouvelle;Paris;0751719L;0751719L;75056
Universit Sorbonne-Nouvelle Paris III;Paris;0751719L;0751719L;75056
Universit Paris 1, Panthon-Sorbonne;Paris;0751717J;0751717J;75056
Universit Sorbonne Nouvelle Paris III;Paris;0751719L;0751719L;75056
UP Dauphine;Paris;0750736T;0750736T;75056
Ensci les Ateliers;Paris;0754585B;0754585B;75056
Universit Paris 1 Panthon Sorbonne - ENSAPLV;Paris;0751717J;0751717J;75056
Universit Pierre et Marie Curie;Paris;0751722P;0751722P;75056
Universit Paris 1 Panthon- Sorbonne;Paris ;0751717J;0751717J;75056
Facult de Mdecine Paris Descartes;Paris;0751721N;0751721N;75056
Universit Pierre et Marie Curie (Paris VI);Paris;0751722P;0751722P;75056
Universit Paris 1 Panthon Sorbonne;Paris;0751717J;0751717J;75056
UNIVERSITE PARIS 1 PANTHEON SORBONNE;Paris;0751717J;0751717J;75056
Universit Paris 1 - Panthon Sorbonne;Paris;0751717J;0751717J;75056
EIDD (Ecole d'Ingnieur Denis Diderot) - Paris 7;Paris;0751723R;0755632P;75056
Universit Pierre et Marie CURIE, Paris;Paris;0751722P;0751722P;75056
Ecole National Suprieure des Beaux Arts de Paris;Paris;0753667D;0753667D;75056
ENSBA ;PARIS;0753667D;0753667D;75056
Universit Panthon-assas;Paris;0751718K;0751718K;75056
Universit Panthon Sorbonne Paris I;Paris;0751717J;0751717J;75056
EnsAD;Paris;0753470P;0753470P;75056
Universit Panthon Sorbonne (enseignement  distance);Paris;0751717J;0751717J;75056
Universit Panthon Assas Paris II;Paris;0751718K;0751718K;75056
ENSA Paris-La Villette;PARIS;0751875F;0751875F;75056
Universit Paris 1  Panthon/Sorbonne;Paris ;0751717J;0751717J;75056
Universit pierre et Marie Curie Paris 6;Paris;0751722P;0751722P;75056
Janson de Sailly;Paris;0750699C;0750699C;75056
PARIS 1 SAINT CHARLES;PARIS;0751717J;0751717J;75056
Paris 3 Sorbonne Nouvelle;Paris;0751719L;0751719L;75056
Sorbonne Paris 1;Paris;0751717J;0751717J;75056
CNAM;Paris;0753471R;0753471R;75056
Sorbonne-Paris I;Paris;0751717J;0751717J;75056
Paris 2 Assas;Paris;0751718K;0751718K;75056
Sup de COM Paris;Paris;0693180G;0755451T;75056
Novancia Business School;Paris;0755507D;0755507D;75056
Novancia;Paris;0755507D;0755507D;75056
Lyce Buffon;Paris;0750693W;0750693W;75056
Paris II - Panthon-Assas;Paris;0751718K;0751718K;75056
Ateliers de Paris/ Universit de Marne la valle;Paris;0772502B;;75056
SUP DE PUB;Paris;;;75056
ISIFA;Paris;0922377J;0922377J;92040
CELSA - Paris IV;Paris;0751720M;0921509R;92051
Universit Paris 2 - Panthon Assas;Paris;0751718K;0751718K;75056
ISTEC;Paris;0752304X;0752304X;75056
CNSAD;PARIS;0753469N;0753469N;75056
Tlcom Paristech;Paris;0753510H;0753510H;75056
Universit Panthon Assas Paris 2;Paris;0751718K;0751718K;75056
Paris Diderot;Paris;0751723R;0751723R;75056
Paris 1 Panthon Sorbonne;Paris;0751717J;0751717J;75056
Paris Pantheon Sorbonne I;Paris;0751717J;0751717J;75056
Celsa - Paris Sorbonne;Paris;0751720M;0921509R;75056
Celsa-Paris IV;Paris ;0751720M;0921509R;75056
Paris 1 Panthon La Sorbonne;Paris;0751717J;0751717J;75056
Lyce Chaptal;PARIS;0750663N;0750663N;75056
Paris 2 Panthon Assas;Paris;0751718K;0751718K;75056
AgroParisTech;Paris;0753465J;0753465J;75056
Lyce Charles de Foucauld;Paris;0754086J;0754086J;75056
Centre Michel Serres pour l'innovation;Paris;;;75056
Paris 1 Universit Panthon Sorbonne;Paris;0751717J;0751717J;75056
Panthon-Assas;Paris;0751718K;0751718K;75056
Arts et Mertiers / Paris Descartes;Paris;0753237L;0753237L;75056
Paris Dauphine;Paris;0750736T;0750736T;75056
Paris School of Business (Ex: ESG MS);Paris;0753111Z;0753111Z;75056
L'cole nationale suprieure d'architecture Paris Val de Seine;Paris;0754540C;0754540C;75056
PARIS DESCARTES;PARIS;0751721N;0751721N;75056
Arts et Mtiers;Paris;0753237L;0753237L;75056
Centre de Recherche Interdisciplinaire;Paris;;;75056
Paris 1 Panthon-Sorbonne;Paris;0751717J;0751717J;75056
PARIS 1 PANTHEON SORBONNE;PARIS;0751717J;0751717J;75056
La Sorbonne Paris 1;Paris;0751717J;0751717J;75056
Universit Catholique de Lille - Facult de Gestion conomie et sciences ;Paris ;0590344D;;75056
PARIS DESCARTES  (Paris V);Paris;0751721N;0751721N;75056
PARIS V DESCARTES;PARIS;0751721N;0751721N;75056
PSB paris school of business;Paris;0753111Z;0753111Z;75056
ISCOM;Paris;0753435B;0753435B;75056
SciencesPo Paris;Paris ;0753431X;0753431X;75056
Panthon Assas PARIS 2;Paris;0751718K;0751718K;75056
Sciences po paris;paris;0753431X;0753431X;75056
AgroParisTech - ENGREF;Paris;0753465J;0753503A;75056
AgroParisTech-ENGREF;Paris;0753465J;0753503A;75056
Ren Descartes;Paris;0751721N;0751721N;75056
Chimie ParisTech;Paris;0753375L;0753375L;75056
PSB (ESG-MS);Paris;0753111Z;0753111Z;75056
PPA;Paris;;;75056
Universit Paris IX Dauphine;Paris;0750736T;0750736T;75056
Polytech'Paris-UPMC;Paris;0751722P;0754400A;75056
Panthon Sorbonne;Paris ;0751717J;0751717J;75056
Paris Saclay;Paris;0912274C;0912274C;75056
Sciences Po;Paris;0753431X;0753431X;75056
Lyce Saint Louis;Paris;0750658H;0750658H;75056
Mines ParisTech + Ecole Polytechnique;Paris;0753493P;0753493P;75056
Paris 3 Universit Sorbonne Nouvelle;Paris;0751719L;0751719L;75056
Lyce Franois Villon;Paris;0750690T;0750690T;75056
Institut de Physique du Globe de Paris - Universit Paris Diderot;Paris;0753428U;0753428U;75056
Paris IV Sorbonne;Paris;0751720M;0751720M;75056
ISG;PARIS ;0753620C;0753620C;75056
Paris II ASSAS;PARIS;0751718K;0751718K;75056
lyce Charlemagne;Paris;0750652B;0750652B;75056
ESTP Paris;Paris;0942340H;0942340H;94016
Institut Suprieur de Gestion (ISG);Paris;0753620C;0753620C;75056
Institut Suprieur de Gestion;Paris ;0753620C;0753620C;75056
ECE PAris;Paris;0754431J;0754431J;75056
Paris 5 Descartes;Paris;0751721N;0751721N;75056
Lyce Dorian;Paris;0750676C;0750676C;75056
Atelier Chardon Savard;Paris;0754527N;0754527N;75056
Paris II Pantheon Assas;Paris;0751718K;0751718K;75056
cole Boulle;PARIS;0750681H;0750681H;75056
ECE Paris cole d'ingnieurs;Paris;0754431J;0754431J;75056
ECE PARIS ECOLE D'INGENIEUR;PARIS;0754431J;0754431J;75056
Institut d'Etudes Politiques de Paris;Paris;0753431X;0753431X;75056
FACO ;Paris;0750728J;0750728J;75056
Paris IV;Paris;0751720M;0751720M;75056
Paris 4 Sorbonne;Paris;0751720M;0751720M;75056
